Particle Z-Coordinate,Particle Mass,Particle X-Coordinate,Particle ID,Particle Y-Coordinate
time (s) = 0.0
time (s) = 0.1
 1.07242e-02, 5.22656e-07, 3.33382e-03, 4.10000e+01, 8.22310e-03
-5.57656e-03, 5.22656e-07,-7.70603e-03, 4.20000e+01, 9.18596e-03
-4.56203e-03, 5.22656e-07, 1.33356e-02, 4.30000e+01, 1.01970e-02
 2.32064e-04, 5.22656e-07,-1.05912e-02, 4.40000e+01, 8.81402e-03
-3.67967e-03, 5.22656e-07, 1.55508e-02, 4.50000e+01, 8.65905e-03
-1.62616e-02, 5.22656e-07, 8.82036e-03, 4.60000e+01, 4.58358e-03
-1.03157e-02, 5.22656e-07, 5.36702e-03, 4.70000e+01, 8.47337e-03
-1.34290e-03, 5.22656e-07, 8.51339e-03, 4.80000e+01, 8.43990e-03
-9.35228e-03, 5.22656e-07,-1.36634e-02, 4.90000e+01, 8.54433e-03
-1.48527e-03, 5.22656e-07, 1.92010e-03, 5.00000e+01, 8.02947e-03
-1.23657e-03, 5.22656e-07, 1.07489e-02, 5.10000e+01, 8.09310e-03
-1.52272e-02, 5.22656e-07, 5.75732e-03, 5.20000e+01, 8.94248e-03
-1.60071e-02, 5.22656e-07,-9.38389e-03, 5.40000e+01, 5.01253e-03
-8.16446e-03, 5.22656e-07,-1.60017e-02, 5.50000e+01, 7.26310e-03
-1.78982e-02, 5.22656e-07,-4.88437e-03, 5.60000e+01, 5.00760e-03
 9.90765e-03, 5.22656e-07,-1.35941e-02, 5.70000e+01, 5.68651e-03
-7.46659e-03, 5.22656e-07,-1.09294e-02, 5.90000e+01, 7.23509e-03
-1.68483e-02, 5.22656e-07,-5.15951e-04, 6.00000e+01, 7.24842e-03
-7.68941e-03, 5.22656e-07,-5.12907e-03, 6.10000e+01, 6.35367e-03
-1.79292e-02, 5.22656e-07,-3.33126e-03, 6.20000e+01, 7.24204e-03
 8.45923e-04, 5.22656e-07,-1.26561e-02, 6.30000e+01, 6.38242e-03
 1.13156e-02, 5.22656e-07, 1.46723e-03, 6.40000e+01, 5.64850e-03
 8.57114e-03, 5.22656e-07,-9.40129e-03, 6.50000e+01, 5.41670e-03
-1.48351e-02, 5.22656e-07, 1.38903e-03, 6.60000e+01, 7.00238e-03
 3.03394e-03, 5.22656e-07,-9.41638e-03, 6.80000e+01, 5.75706e-03
-5.84873e-03, 5.22656e-07, 1.05404e-02, 6.90000e+01, 5.44538e-03
-8.34299e-03, 5.22656e-07, 1.28276e-02, 7.00000e+01, 5.80837e-03
-8.34678e-03, 5.22656e-07,-6.91915e-03, 7.10000e+01, 5.08126e-03
 3.89968e-03, 5.22656e-07, 6.02329e-03, 7.20000e+01, 5.14870e-03
-3.34547e-04, 5.22656e-07, 1.21197e-02, 7.30000e+01, 5.20211e-03
-9.53245e-03, 5.22656e-07, 1.51167e-02, 7.40000e+01, 4.99394e-03
-8.53486e-03, 5.22656e-07, 4.98412e-03, 7.50000e+01, 4.67491e-03
-1.16420e-02, 5.22656e-07, 1.01269e-03, 7.60000e+01, 4.83639e-03
-1.07969e-02, 5.22656e-07,-7.67994e-04, 7.70000e+01, 4.43315e-03
 3.21966e-03, 5.22656e-07, 1.48301e-02, 7.80000e+01, 4.27966e-03
 7.22139e-03, 5.22656e-07,-1.04048e-02, 7.90000e+01, 3.81949e-03
 5.39555e-03, 5.22656e-07, 1.07444e-02, 8.00000e+01, 4.07116e-03
 2.76908e-03, 5.22656e-07,-2.59245e-03, 8.10000e+01, 3.93052e-03
-1.26464e-02, 5.22656e-07,-1.32328e-02, 8.20000e+01, 4.00706e-03
-1.69857e-02, 5.22656e-07, 7.02600e-03, 8.30000e+01, 2.59008e-03
-5.36542e-03, 5.22656e-07, 1.26918e-02, 8.40000e+01, 4.00316e-03
 7.47382e-03, 5.22656e-07, 4.36690e-03, 8.50000e+01, 3.31625e-03
 2.43610e-03, 5.22656e-07, 4.79847e-03, 8.60000e+01, 3.27809e-03
 1.02827e-02, 5.22656e-07,-8.60878e-03, 8.70000e+01, 2.89701e-03
-9.14460e-03, 5.22656e-07, 1.20218e-02, 8.80000e+01, 3.47440e-03
 2.29908e-03, 5.22656e-07,-7.07780e-03, 8.90000e+01, 2.99989e-03
 3.95213e-03, 5.22656e-07,-5.27214e-03, 9.00000e+01, 2.91570e-03
-2.77006e-04, 5.22656e-07,-1.28274e-03, 9.10000e+01, 2.61229e-03
-5.35095e-04, 5.22656e-07,-1.46497e-02, 9.20000e+01, 2.50452e-03
 1.61957e-02, 5.22656e-07, 3.74367e-03, 9.30000e+01, 1.58793e-03
-1.32442e-03, 5.22656e-07, 1.08080e-02, 9.40000e+01, 2.21361e-03
 1.32631e-02, 5.22656e-07,-8.59643e-03, 9.50000e+01, 2.04661e-03
-1.53644e-02, 5.22656e-07,-7.05899e-04, 9.60000e+01, 2.15640e-03
-2.40531e-03, 5.22656e-07,-7.91638e-03, 9.70000e+01, 1.87919e-03
-1.48858e-02, 5.22656e-07, 2.33373e-03, 9.80000e+01, 1.93041e-03
-1.13407e-02, 5.22656e-07, 2.66231e-03, 9.90000e+01, 1.66142e-03
-2.17308e-03, 5.22656e-07,-1.20683e-02, 1.00000e+02, 1.47483e-03
 1.63572e-02, 5.22656e-07, 3.45830e-03, 1.01000e+02, 1.07603e-03
 2.31520e-03, 5.22656e-07, 4.07610e-03, 1.02000e+02, 1.13371e-03
-3.22070e-03, 5.22656e-07, 1.70847e-02, 1.03000e+02, 1.04541e-03
 3.29696e-03, 5.22656e-07,-7.67563e-03, 1.04000e+02, 8.95301e-04
 1.17886e-02, 5.22656e-07,-3.96504e-03, 1.05000e+02, 7.75871e-04
-1.21625e-02, 5.22656e-07, 1.38319e-02, 1.06000e+02, 6.73463e-04
-7.94147e-03, 5.22656e-07,-1.15346e-02, 1.07000e+02, 4.96815e-04
-1.52595e-02, 5.22656e-07, 4.68104e-03, 1.08000e+02, 3.59071e-04
 3.65512e-03, 5.22656e-07,-4.53423e-03, 1.09000e+02, 2.15318e-04
-7.27267e-04, 5.22656e-07,-6.40865e-03, 1.10000e+02, 8.39098e-05
 7.23428e-03, 5.22656e-07, 1.20783e-02, 1.11000e+02, 2.95685e-06
-2.10614e-03, 5.22656e-07, 1.17547e-02, 1.12000e+02,-1.68269e-04
 5.73100e-03, 5.22656e-07, 2.20349e-03, 1.13000e+02,-2.98093e-04
